"n","m","total_comparisons","approach","time"
2,5,10,"Naive (serial)",0.019279956817627
2,5,10,"Vectorised (serial)",0.000242948532104492
2,5,10,"Bitops (serial)",0.0193860530853271
2,5,10,"C++ (serial)",0.000381946563720703
2,5,10,"Sockets (parallel)",2.08965682983398
2,5,10,"Forks (parallel)",0.120489120483398
2,10,20,"Naive (serial)",0.0409932136535645
2,10,20,"Vectorised (serial)",0.000844001770019531
2,10,20,"Bitops (serial)",0.0024559497833252
2,10,20,"C++ (serial)",0.000818014144897461
2,10,20,"Sockets (parallel)",1.5872700214386
2,10,20,"Forks (parallel)",0.114802837371826
2,15,30,"Naive (serial)",0.062675952911377
2,15,30,"Vectorised (serial)",0.00108814239501953
2,15,30,"Bitops (serial)",0.00316905975341797
2,15,30,"C++ (serial)",0.00116705894470215
2,15,30,"Sockets (parallel)",1.60026907920837
2,15,30,"Forks (parallel)",0.101561069488525
2,20,40,"Naive (serial)",0.0802369117736816
2,20,40,"Vectorised (serial)",0.0016179084777832
2,20,40,"Bitops (serial)",0.00430703163146973
2,20,40,"C++ (serial)",0.00147199630737305
2,20,40,"Sockets (parallel)",1.59409022331238
2,20,40,"Forks (parallel)",0.11350417137146
2,25,50,"Naive (serial)",0.127259969711304
2,25,50,"Vectorised (serial)",0.00208711624145508
2,25,50,"Bitops (serial)",0.00621891021728516
2,25,50,"C++ (serial)",0.00242304801940918
2,25,50,"Sockets (parallel)",1.59655690193176
2,25,50,"Forks (parallel)",0.113081216812134
2,30,60,"Naive (serial)",0.105947971343994
2,30,60,"Vectorised (serial)",0.00243401527404785
2,30,60,"Bitops (serial)",0.00750207901000977
2,30,60,"C++ (serial)",0.00229096412658691
2,30,60,"Sockets (parallel)",1.60704493522644
2,30,60,"Forks (parallel)",0.116925001144409
2,35,70,"Naive (serial)",0.12171196937561
2,35,70,"Vectorised (serial)",0.00323200225830078
2,35,70,"Bitops (serial)",0.00935888290405273
2,35,70,"C++ (serial)",0.00299692153930664
2,35,70,"Sockets (parallel)",1.60608005523682
2,35,70,"Forks (parallel)",0.11589503288269
2,40,80,"Naive (serial)",0.146603107452393
2,40,80,"Vectorised (serial)",0.00302910804748535
2,40,80,"Bitops (serial)",0.00919198989868164
2,40,80,"C++ (serial)",0.00304889678955078
2,40,80,"Sockets (parallel)",1.6428279876709
2,40,80,"Forks (parallel)",0.121570110321045
2,45,90,"Naive (serial)",0.175796985626221
2,45,90,"Vectorised (serial)",0.00347805023193359
2,45,90,"Bitops (serial)",0.0109879970550537
2,45,90,"C++ (serial)",0.0042109489440918
2,45,90,"Sockets (parallel)",1.68294596672058
2,45,90,"Forks (parallel)",0.118991851806641
2,50,100,"Naive (serial)",0.166568040847778
2,50,100,"Vectorised (serial)",0.00354909896850586
2,50,100,"Bitops (serial)",0.0102341175079346
2,50,100,"C++ (serial)",0.00378608703613281
2,50,100,"Sockets (parallel)",1.63950514793396
2,50,100,"Forks (parallel)",0.123743057250977
4,5,20,"Naive (serial)",0.0805280208587646
4,5,20,"Vectorised (serial)",0.00269603729248047
4,5,20,"Bitops (serial)",0.00310587882995605
4,5,20,"C++ (serial)",0.00110888481140137
4,5,20,"Sockets (parallel)",1.62055802345276
4,5,20,"Forks (parallel)",0.120449066162109
4,10,40,"Naive (serial)",0.080143928527832
4,10,40,"Vectorised (serial)",0.0016481876373291
4,10,40,"Bitops (serial)",0.00539803504943848
4,10,40,"C++ (serial)",0.00187492370605469
4,10,40,"Sockets (parallel)",1.66536498069763
4,10,40,"Forks (parallel)",0.126829862594604
4,15,60,"Naive (serial)",0.108441114425659
4,15,60,"Vectorised (serial)",0.0024268627166748
4,15,60,"Bitops (serial)",0.00717997550964355
4,15,60,"C++ (serial)",0.00243997573852539
4,15,60,"Sockets (parallel)",1.63219118118286
4,15,60,"Forks (parallel)",0.125612020492554
4,20,80,"Naive (serial)",0.143073081970215
4,20,80,"Vectorised (serial)",0.0037531852722168
4,20,80,"Bitops (serial)",0.0104970932006836
4,20,80,"C++ (serial)",0.00917887687683105
4,20,80,"Sockets (parallel)",1.66429495811462
4,20,80,"Forks (parallel)",0.131856918334961
4,25,100,"Naive (serial)",0.185664176940918
4,25,100,"Vectorised (serial)",0.00415992736816406
4,25,100,"Bitops (serial)",0.013185977935791
4,25,100,"C++ (serial)",0.00517082214355469
4,25,100,"Sockets (parallel)",1.73301100730896
4,25,100,"Forks (parallel)",0.147841930389404
4,30,120,"Naive (serial)",0.280547142028809
4,30,120,"Vectorised (serial)",0.00583219528198242
4,30,120,"Bitops (serial)",0.0164830684661865
4,30,120,"C++ (serial)",0.00654006004333496
4,30,120,"Sockets (parallel)",1.7157039642334
4,30,120,"Forks (parallel)",0.142793893814087
4,35,140,"Naive (serial)",0.239872932434082
4,35,140,"Vectorised (serial)",0.00509119033813477
4,35,140,"Bitops (serial)",0.0144138336181641
4,35,140,"C++ (serial)",0.00515484809875488
4,35,140,"Sockets (parallel)",1.64611101150513
4,35,140,"Forks (parallel)",0.15545392036438
4,40,160,"Naive (serial)",0.395463943481445
4,40,160,"Vectorised (serial)",0.00439715385437012
4,40,160,"Bitops (serial)",0.0170400142669678
4,40,160,"C++ (serial)",0.00781583786010742
4,40,160,"Sockets (parallel)",1.85370683670044
4,40,160,"Forks (parallel)",0.147180795669556
4,45,180,"Naive (serial)",0.37903881072998
4,45,180,"Vectorised (serial)",0.00659489631652832
4,45,180,"Bitops (serial)",0.0229840278625488
4,45,180,"C++ (serial)",0.00697898864746094
4,45,180,"Sockets (parallel)",1.86848306655884
4,45,180,"Forks (parallel)",0.13742995262146
4,50,200,"Naive (serial)",0.465085029602051
4,50,200,"Vectorised (serial)",0.0122520923614502
4,50,200,"Bitops (serial)",0.0392630100250244
4,50,200,"C++ (serial)",0.0140790939331055
4,50,200,"Sockets (parallel)",1.85018682479858
4,50,200,"Forks (parallel)",0.130228042602539
6,5,30,"Naive (serial)",0.0758700370788574
6,5,30,"Vectorised (serial)",0.00116801261901855
6,5,30,"Bitops (serial)",0.00364899635314941
6,5,30,"C++ (serial)",0.00149393081665039
6,5,30,"Sockets (parallel)",1.764004945755
6,5,30,"Forks (parallel)",0.123667001724243
6,10,60,"Naive (serial)",0.159205913543701
6,10,60,"Vectorised (serial)",0.00272893905639648
6,10,60,"Bitops (serial)",0.0080711841583252
6,10,60,"C++ (serial)",0.00285601615905762
6,10,60,"Sockets (parallel)",1.8859748840332
6,10,60,"Forks (parallel)",0.167453050613403
6,15,90,"Naive (serial)",0.195268154144287
6,15,90,"Vectorised (serial)",0.0056450366973877
6,15,90,"Bitops (serial)",0.0135071277618408
6,15,90,"C++ (serial)",0.0048680305480957
6,15,90,"Sockets (parallel)",2.04524397850037
6,15,90,"Forks (parallel)",0.175541877746582
6,20,120,"Naive (serial)",0.330471992492676
6,20,120,"Vectorised (serial)",0.00609207153320312
6,20,120,"Bitops (serial)",0.0164048671722412
6,20,120,"C++ (serial)",0.00585603713989258
6,20,120,"Sockets (parallel)",1.78912210464478
6,20,120,"Forks (parallel)",0.162369012832642
6,25,150,"Naive (serial)",0.362496137619019
6,25,150,"Vectorised (serial)",0.00761604309082031
6,25,150,"Bitops (serial)",0.0247340202331543
6,25,150,"C++ (serial)",0.00933408737182617
6,25,150,"Sockets (parallel)",1.83367586135864
6,25,150,"Forks (parallel)",0.196622133255005
6,30,180,"Naive (serial)",0.430626153945923
6,30,180,"Vectorised (serial)",0.0104420185089111
6,30,180,"Bitops (serial)",0.0289812088012695
6,30,180,"C++ (serial)",0.0115230083465576
6,30,180,"Sockets (parallel)",3.78735494613647
6,30,180,"Forks (parallel)",0.241979837417603
6,35,210,"Naive (serial)",0.620532989501953
6,35,210,"Vectorised (serial)",0.0231430530548096
6,35,210,"Bitops (serial)",0.0610120296478271
